"room_type","reviews","overall_satisfaction","accommodates","bedrooms","price"
"Shared room",0,0,4,1,91
"Shared room",32,5,4,1,77
"Shared room",4,4.5,2,1,35
"Shared room",24,4.5,6,1,31
"Shared room",152,4.5,6,1,36
"Shared room",20,4.5,4,1,29
"Shared room",52,4.5,5,1,20
"Shared room",14,4.5,2,1,31
"Entire home/apt",3,5,6,3,51
"Entire home/apt",30,5,5,2,168
"Entire home/apt",21,5,4,0,100
"Entire home/apt",10,5,4,1,76
"Entire home/apt",12,5,3,1,118
"Entire home/apt",23,5,4,1,112
"Entire home/apt",6,5,3,1,153
"Entire home/apt",0,0,4,1,102
"Entire home/apt",225,5,4,1,102
"Entire home/apt",43,4.5,4,1,97
"Entire home/apt",48,5,4,1,141
"Entire home/apt",48,5,5,1,88
"Entire home/apt",1,0,4,2,85
"Entire home/apt",30,5,12,4,261
"Entire home/apt",17,5,4,1,296
"Entire home/apt",218,5,4,3,234
"Entire home/apt",0,0,8,3,207
"Entire home/apt",0,0,6,4,192
"Entire home/apt",0,0,8,3,231
"Entire home/apt",5,5,5,3,211
"Entire home/apt",10,5,6,3,202
"Entire home/apt",0,0,6,3,223
"Entire home/apt",26,5,5,2,153
"Entire home/apt",31,5,4,2,193
"Entire home/apt",28,5,5,2,162
"Entire home/apt",92,5,2,1,158
"Entire home/apt",1,0,4,0,177
"Entire home/apt",101,5,7,3,153
"Entire home/apt",44,5,4,2,156
"Entire home/apt",30,5,4,2,178
"Entire home/apt",1,0,5,2,158
"Entire home/apt",47,5,4,1,196
"Entire home/apt",23,5,5,1,168
"Entire home/apt",28,5,4,2,93
"Entire home/apt",0,0,2,1,101
"Entire home/apt",25,5,3,1,109
"Entire home/apt",171,5,6,2,130
"Entire home/apt",30,5,2,1,101
"Entire home/apt",19,5,4,2,109
"Entire home/apt",75,5,5,2,134
"Entire home/apt",0,0,4,1,149
"Entire home/apt",38,5,4,2,156
"Entire home/apt",86,5,4,1,87
"Entire home/apt",30,5,4,2,112
"Entire home/apt",142,5,5,2,114
"Entire home/apt",2,0,4,1,175
"Entire home/apt",12,5,4,2,122
"Entire home/apt",28,5,4,2,108
"Entire home/apt",27,5,2,2,114
"Entire home/apt",43,5,4,1,115
"Entire home/apt",49,5,2,1,90
"Entire home/apt",28,5,5,2,104
"Entire home/apt",41,5,3,0,105
"Entire home/apt",147,5,2,0,108
"Entire home/apt",8,5,6,2,74
"Entire home/apt",5,5,2,1,100
"Entire home/apt",24,5,5,3,97
"Entire home/apt",50,5,2,1,105
"Entire home/apt",103,4.5,4,1,114
"Entire home/apt",175,5,4,2,93
"Entire home/apt",79,5,4,2,125
"Entire home/apt",32,4.5,3,1,79
"Entire home/apt",73,5,4,2,90
"Entire home/apt",68,5,2,1,77
"Entire home/apt",1,0,2,1,122
"Entire home/apt",66,5,2,1,96
"Entire home/apt",47,5,2,1,93
"Entire home/apt",39,5,4,2,101
"Entire home/apt",1,0,4,2,106
"Entire home/apt",155,5,2,1,143
"Entire home/apt",97,5,2,1,77
"Entire home/apt",46,5,4,1,69
"Entire home/apt",32,5,4,1,68
"Entire home/apt",6,5,6,2,77
"Entire home/apt",58,5,3,1,59
"Entire home/apt",7,5,6,2,90
"Entire home/apt",202,4.5,3,0,74
"Entire home/apt",121,5,2,1,66
"Entire home/apt",100,4.5,3,1,104
"Entire home/apt",141,5,3,1,61
"Entire home/apt",131,5,4,1,68
"Entire home/apt",193,5,4,1,54
"Entire home/apt",86,5,2,1,84
"Entire home/apt",35,5,8,2,49
"Entire home/apt",4,5,5,2,63
"Entire home/apt",26,5,16,10,3693
"Entire home/apt",0,0,17,7,4625
"Entire home/apt",0,0,10,5,1604
"Entire home/apt",0,0,12,4,1105
"Entire home/apt",2,0,6,2,529
"Entire home/apt",0,0,12,4,673
"Entire home/apt",11,5,4,2,490
"Entire home/apt",0,0,12,5,392
"Entire home/apt",0,0,5,2,248
"Entire home/apt",1,0,5,2,498
"Entire home/apt",4,5,10,3,353
"Entire home/apt",4,4.5,5,2,410
"Entire home/apt",10,5,6,3,576
"Entire home/apt",2,0,6,2,584
"Entire home/apt",50,5,10,5,793
"Entire home/apt",7,5,6,2,328
"Entire home/apt",82,4.5,10,5,401
"Entire home/apt",46,5,10,4,651
"Entire home/apt",31,5,12,4,570
"Entire home/apt",2,0,11,4,599
"Entire home/apt",18,5,8,3,625
"Entire home/apt",48,5,6,2,511
"Entire home/apt",5,5,3,2,345
"Entire home/apt",61,5,6,2,508
"Entire home/apt",25,5,5,2,398
"Entire home/apt",2,0,8,3,376
"Entire home/apt",29,5,6,3,402
"Entire home/apt",1,0,5,2,314
"Entire home/apt",0,0,6,2,268
"Entire home/apt",3,5,6,2,302
"Entire home/apt",2,0,10,3,233
"Entire home/apt",1,0,4,1,370
"Entire home/apt",1,0,5,2,287
"Entire home/apt",13,5,2,0,467
"Entire home/apt",1,0,8,3,232
"Entire home/apt",22,5,5,2,371
"Entire home/apt",9,5,8,3,217
"Entire home/apt",89,5,6,3,288
"Entire home/apt",11,5,4,2,248
"Entire home/apt",4,5,10,2,224
"Entire home/apt",57,5,4,2,308
"Entire home/apt",13,5,6,3,226
"Entire home/apt",13,5,6,2,287
"Entire home/apt",2,0,4,1,266
"Entire home/apt",55,5,6,3,330
"Entire home/apt",34,5,7,3,229
"Entire home/apt",65,4.5,6,3,211
"Entire home/apt",16,5,4,2,251
"Entire home/apt",53,5,4,2,334
