"age","gender","ownhome","married","location","salary","children","history","catalogs","amountspent"
"Old","Female","Own","Single","Far",59734,0,"High",6,88.6
"Middle","Male","Rent","Single","Close",96798,0,"High",6,137
"Young","Female","Rent","Single","Close",32380,0,"Low",18,91.1
"Middle","Male","Own","Married","Close",91406,1,"High",18,249.9
"Middle","Female","Own","Single","Close",190178,0,"High",12,168.8
"Young","Male","Own","Married","Close",37726,0,"Low",6,57.4
"Middle","Female","Rent","Single","Close",61516,0,"Medium",12,85.6
"Middle","Male","Own","Single","Close",75763,0,"High",18,122.1
"Middle","Female","Own","Married","Close",57697,3,"Low",6,21.8
"Old","Male","Own","Married","Far",86735,0,"None",18,311.3
"Young","Male","Rent","Married","Close",49863,1,"None",12,102.6
"Middle","Male","Own","Married","Far",124844,3,"High",18,212.5
"Middle","Female","Own","Married","Close",66586,1,"Medium",24,78
"Middle","Male","Own","Married","Close",152249,0,"High",12,245.7
"Old","Female","Own","Married","Far",130351,0,"High",24,564.5
"Middle","Female","Own","Married","Far",90019,1,"None",12,318.8
"Old","Female","Own","Married","Close",90742,0,"High",24,340.3
"Middle","Male","Own","Married","Close",95598,0,"High",18,207.8
"Middle","Male","Rent","Single","Close",43897,1,"Low",18,105.9
"Old","Female","Rent","Single","Far",20743,0,"Low",12,70.2
"Young","Female","Rent","Single","Far",21993,2,"Low",6,88.4
"Young","Male","Rent","Married","Close",78650,0,"Medium",12,89.6
"Old","Female","Rent","Married","Far",99919,0,"High",18,247.1
"Young","Male","Rent","Married","Far",48635,1,"Medium",12,87.4
"Young","Female","Rent","Married","Close",51978,1,"None",6,57.7
"Middle","Female","Own","Married","Close",103091,3,"Low",18,78.1
"Middle","Male","Own","Single","Close",74195,3,"None",6,79.9
"Middle","Female","Rent","Married","Far",133555,0,"High",18,213.7
"Middle","Female","Rent","Married","Close",74311,2,"Medium",12,86.3
"Young","Male","Rent","Single","Close",28127,1,"None",18,93.8
"Old","Female","Rent","Married","Close",53115,0,"Medium",12,72
"Middle","Male","Rent","Married","Far",82087,1,"High",12,214.9
"Middle","Female","Rent","Married","Close",111560,3,"None",24,250.3
"Middle","Male","Own","Married","Close",126741,0,"High",24,1309.3
"Middle","Male","Rent","Single","Far",82443,0,"High",12,246
"Middle","Female","Own","Single","Close",36077,2,"Low",6,32.1
"Middle","Female","Own","Single","Far",72767,2,"High",24,179.2
"Middle","Male","Rent","Single","Close",62204,1,"Medium",12,73.9
"Old","Female","Own","Married","Close",179634,0,"None",18,134.2
"Old","Female","Rent","Single","Close",29407,0,"Low",24,161
"Middle","Male","Own","Single","Close",79422,3,"Low",12,46.5
"Middle","Female","Own","Married","Far",109467,3,"None",24,313.7
"Middle","Male","Rent","Married","Close",87031,1,"None",24,257.8
"Old","Female","Rent","Married","Far",95180,0,"High",18,373.2
"Middle","Female","Own","Single","Close",56961,1,"Medium",12,100.2
"Old","Female","Own","Married","Close",118852,0,"High",18,286
"Middle","Male","Own","Married","Close",92827,0,"None",6,107.6
"Young","Male","Own","Married","Close",64103,0,"None",18,155.1
"Middle","Male","Own","Married","Close",132123,2,"High",18,207.1
"Middle","Female","Own","Married","Close",89391,1,"High",24,277.3
"Middle","Female","Own","Married","Close",137143,1,"High",6,117.8
"Middle","Female","Own","Married","Far",221384,0,"High",18,374.1
"Middle","Female","Own","Married","Close",117385,1,"None",24,344.7
"Middle","Female","Own","Single","Far",63035,3,"Medium",6,64
"Middle","Female","Rent","Single","Close",55260,0,"Medium",24,103.3
"Old","Male","Rent","Married","Close",80641,0,"High",24,283.4
"Middle","Male","Own","Single","Close",68698,0,"High",24,132.5
"Young","Male","Rent","Married","Close",78918,0,"High",12,121.5
"Middle","Male","Rent","Single","Close",47995,0,"Medium",24,119.7
"Young","Female","Own","Married","Far",55310,0,"None",6,106.8
"Middle","Male","Own","Single","Close",73160,2,"Medium",12,80.9
"Young","Female","Own","Single","Close",32437,2,"None",12,105.2
"Young","Female","Own","Single","Close",24717,1,"Low",6,21
"Old","Female","Own","Single","Close",24765,0,"Low",24,59.6
"Old","Female","Own","Married","Close",67625,0,"High",6,567.7
"Young","Male","Rent","Married","Close",72066,0,"None",18,147
"Middle","Male","Own","Married","Far",77664,0,"None",24,264.8
"Young","Female","Rent","Single","Far",44904,0,"None",24,42.1
"Middle","Female","Own","Single","Close",59680,0,"Medium",24,157.1
"Middle","Male","Own","Single","Far",79742,0,"High",24,425.6
"Young","Female","Rent","Single","Close",58328,0,"None",12,68.1
"Middle","Female","Own","Married","Far",128325,1,"High",18,306.5
"Middle","Male","Own","Single","Far",143326,0,"None",6,107
"Young","Male","Rent","Single","Close",21774,0,"None",24,67
"Young","Male","Rent","Single","Close",22380,3,"Low",6,11.8
"Middle","Male","Own","Single","Close",65436,1,"None",6,106.8
"Young","Female","Rent","Married","Close",65730,3,"Low",12,39.5
"Middle","Male","Own","Married","Far",122907,2,"High",18,171.7
"Young","Female","Own","Single","Close",378234,1,"Low",6,27.3
"Young","Female","Rent","Single","Close",41182,2,"Low",18,43
"Middle","Male","Rent","Married","Far",55817,2,"None",12,178.5
"Middle","Female","Own","Married","Close",115881,1,"Medium",6,77.8
"Young","Female","Rent","Single","Far",630025,1,"Medium",24,98.9
"Old","Female","Own","Single","Close",17298,0,"None",6,31
"Middle","Male","Own","Married","Close",135682,0,"None",12,196.3
"Middle","Male","Rent","Single","Close",54717,0,"Medium",18,170.3
"Middle","Female","Own","Single","Close",62295,2,"Low",12,63.3
"Young","Male","Rent","Single","Far",27815,0,"Medium",18,103.3
"Middle","Male","Rent","Single","Close",46181,0,"None",6,71.9
"Young","Female","Rent","Single","Close",23468,1,"Low",6,16.6
"Middle","Female","Rent","Married","Far",79156,1,"High",18,158.4
"Old","Male","Own","Married","Close",159128,0,"High",24,478.4
"Old","Male","Own","Married","Close",83760,0,"High",6,82.8
"Old","Female","Own","Married","Far",69205,2,"Medium",12,87.6
"Young","Female","Rent","Single","Close",29366,1,"None",12,61.5
"Young","Male","Rent","Married","Close",36902,1,"Low",6,63.3
"Middle","Female","Own","Married","Close",122440,3,"Low",24,119.7
"Young","Female","Rent","Single","Far",43800,1,"Low",6,59.4
"Middle","Male","Own","Married","Close",86819,0,"High",24,193.5
"Middle","Male","Rent","Married","Far",92947,2,"High",18,208.3
"Young","Female","Rent","Single","Far",26755,3,"None",24,85.6
"Middle","Female","Rent","Single","Close",49608,0,"None",18,184.3
"Middle","Male","Rent","Single","Far",66937,0,"High",24,314.2
"Middle","Female","Own","Single","Close",63369,2,"Low",18,137.8
"Young","Male","Own","Single","Close",26609,0,"Low",24,70.8
"Middle","Male","Own","Married","Far",104798,3,"High",24,232.6
"Old","Female","Own","Married","Far",99483,0,"None",24,253.6
"Young","Female","Own","Single","Far",81171,0,"Medium",18,166.2
"Old","Female","Own","Married","Close",76500,0,"High",24,290.3
"Middle","Male","Own","Married","Close",85917,2,"None",6,175.1
"Middle","Male","Rent","Married","Close",106674,1,"High",24,226.6
"Middle","Female","Own","Single","Close",56098,2,"None",18,122.8
"Old","Male","Own","Married","Close",112579,0,"High",12,198.7
"Middle","Female","Rent","Married","Close",819907,3,"Low",6,102.8
"Old","Male","Rent","Single","Close",98262,0,"Medium",6,119.5
"Young","Female","Rent","Single","Close",23658,1,"Low",6,27.9
"Old","Male","Own","Married","Close",65346,0,"Medium",24,469.6
"Middle","Male","Own","Single","Far",133110,0,"High",12,180.5
"Old","Male","Own","Married","Far",69228,0,"High",18,191.6
"Young","Male","Rent","Single","Close",61009,0,"None",6,51.2
"Young","Female","Rent","Single","Close",19648,0,"Low",24,40.8
"Middle","Male","Rent","Single","Far",59639,0,"High",18,243.6
"Middle","Female","Own","Single","Far",94969,3,"None",24,222.6
"Middle","Male","Own","Married","Close",124715,1,"None",18,361.6
"Young","Female","Rent","Single","Far",42045,3,"Low",6,19.2
"Young","Male","Rent","Single","Close",23229,3,"None",12,53.8
"Middle","Female","Own","Married","Far",71405,0,"High",24,260.8
"Young","Male","Rent","Single","Close",21454,0,"None",18,117.1
"Middle","Female","Own","Single","Close",42531,0,"Medium",12,210.1
"Young","Female","Rent","Single","Far",35761,0,"None",6,39.7
"Middle","Male","Own","Married","Close",118776,2,"Medium",18,1000
"Middle","Male","Own","Married","Close",80282,2,"None",6,77.3
"Young","Male","Rent","Single","Close",32320,0,"None",6,24.4
"Middle","Female","Own","Married","Close",31801930,2,"None",24,324.8
"Old","Female","Rent","Married","Far",103674,0,"High",24,225.5
"Middle","Female","Rent","Married","Far",53167,3,"Medium",24,164.2
"Young","Female","Own","Single","Far",28751,3,"None",6,38
"Middle","Female","Own","Single","Close",104015,3,"Low",12,29.7
"Young","Female","Own","Married","Far",75916,0,"High",24,376
"Young","Male","Rent","Single","Close",25591,0,"None",12,40
"Young","Female","Rent","Single","Close",19998,1,"Low",6,23
"Old","Female","Own","Married","Far",2338231,0,"High",12,318
