"month","product","sales_volume","post_update"
1,"TechPad",480,0
1,"ElectroTab",515,0
2,"TechPad",505,0
2,"ElectroTab",490,0
3,"TechPad",495,0
3,"ElectroTab",510,0
4,"TechPad",520,0
4,"ElectroTab",505,0
5,"TechPad",510,0
5,"ElectroTab",515,0
6,"TechPad",505,0
6,"ElectroTab",520,0
7,"TechPad",500,0
7,"ElectroTab",495,0
8,"TechPad",515,0
8,"ElectroTab",490,0
9,"TechPad",490,0
9,"ElectroTab",505,0
10,"TechPad",510,0
10,"ElectroTab",515,0
11,"TechPad",515,0
11,"ElectroTab",505,0
12,"TechPad",520,0
12,"ElectroTab",510,0
13,"TechPad",570,1
13,"ElectroTab",505,1
14,"TechPad",580,1
14,"ElectroTab",495,1
15,"TechPad",575,1
15,"ElectroTab",500,1
16,"TechPad",580,1
16,"ElectroTab",490,1
17,"TechPad",570,1
17,"ElectroTab",515,1
18,"TechPad",585,1
18,"ElectroTab",510,1
19,"TechPad",575,1
19,"ElectroTab",505,1
20,"TechPad",590,1
20,"ElectroTab",495,1
21,"TechPad",575,1
21,"ElectroTab",510,1
22,"TechPad",580,1
22,"ElectroTab",505,1
23,"TechPad",590,1
23,"ElectroTab",480,1
24,"TechPad",600,1
24,"ElectroTab",465,1
