"Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","Segmentation"
"Male","No",22,"No","Healthcare",1,"Low",4,"B"
"Female","Yes",38,"Yes","Engineer",NA,"Average",3,"A"
"Female","Yes",40,"Yes","Entertainment",NA,"High",6,"A"
"Female","No",33,"Yes","Healthcare",1,"Low",3,"B"
"Female","Yes",61,"Yes","Engineer",0,"Low",3,"B"
"Female","No",26,"Yes","Engineer",1,"Low",3,"A"
"Male","No",19,"No","Healthcare",4,"Low",4,"B"
"Female","No",19,"No","Executive",0,"Low",NA,"B"
"Male","Yes",70,"No","Lawyer",NA,"Low",1,"A"
"Female","No",32,"No","Homemaker",9,"Low",5,"B"
"Male","Yes",49,"Yes","Homemaker",12,"Low",1,"A"
"Female","No",18,"No","Healthcare",3,"Low",4,"B"
"Male","Yes",33,"Yes","Artist",13,"Low",2,"A"
"Male","No",31,"No","Healthcare",9,"Low",8,"A"
"Female","Yes",42,"No","Doctor",1,"Low",2,"A"
"Male","No",19,"No","Healthcare",1,"Low",3,"B"
"Male","No",26,"No","Homemaker",9,"Low",NA,"B"
"Female","Yes",83,"No","Lawyer",1,"High",2,"B"
"Female","No",27,"Yes","Healthcare",3,"Low",4,"B"
"Male","No",32,"No","Doctor",5,"Low",1,"B"
"Female","Yes",28,"No","Healthcare",1,"Average",5,"B"
"Female","Yes",28,"Yes","Artist",8,"Low",2,"A"
"Female","No",22,"No","Healthcare",0,"Low",2,"B"
"Female","No",27,"Yes","Artist",14,"Low",3,"A"
"Male","Yes",40,"No","Engineer",8,"Low",1,"A"
"Female","Yes",79,"No","Lawyer",NA,"High",2,"A"
"Female","No",29,"Yes","Healthcare",NA,"Low",1,"A"
"Male","No",19,"No","Healthcare",0,"Low",4,"B"
"Female","No",45,"Yes","Engineer",1,"Low",1,"A"
"Male","Yes",40,"Yes","Artist",1,"Low",1,"A"
"Male","Yes",76,"No","Marketing",1,"Low",1,"A"
"Male","No",25,"Yes","Healthcare",9,"Low",4,"B"
"Male","No",32,"","Doctor",8,"Low",2,"B"
"Male","Yes",72,"Yes","Lawyer",1,"Low",NA,"B"
"Male","Yes",74,"Yes","Lawyer",0,"High",3,"B"
"Male","Yes",56,"Yes","Lawyer",1,"High",2,"A"
"Male","Yes",59,"Yes","Lawyer",7,"High",2,"A"
"Male","No",25,"Yes","Entertainment",0,"Low",2,"A"
"Male","Yes",31,"Yes","Doctor",0,"Average",2,"A"
"Male","No",27,"No","Artist",8,"Low",4,"A"
"Female","Yes",39,"Yes","Homemaker",NA,"High",2,"A"
"Male","Yes",27,"Yes","Healthcare",8,"Low",2,"B"
"Female","Yes",51,"Yes","Entertainment",8,"Average",2,"A"
"Female","No",33,"No","Healthcare",8,"Low",4,"B"
"Female","No",36,"Yes","Doctor",0,"Low",2,"B"
"Male","Yes",51,"No","Artist",4,"Low",3,"A"
"Female","No",49,"Yes","",1,"Low",1,"B"
"Female","No",26,"No","Healthcare",6,"Low",3,"B"
"Male","Yes",63,"Yes","Artist",8,"Low",1,"A"
"Female","No",19,"No","Marketing",1,"Low",3,"A"
"Male","No",32,"No","Healthcare",7,"Low",5,"B"
"Female","No",42,"No","Entertainment",7,"Low",3,"B"
"Male","Yes",40,"No","Doctor",0,"Average",2,"B"
"Male","Yes",32,"No","Entertainment",1,"Low",2,"B"
"Male","Yes",58,"Yes","Artist",NA,"Average",1,"B"
"Female","No",38,"Yes","Artist",0,"Low",1,"B"
"Male","Yes",30,"No","Engineer",3,"Average",3,"B"
"Male","Yes",52,"No","Artist",0,"Low",3,"A"
"Male","Yes",38,"No","Executive",0,"High",5,"A"
"Male","No",18,"No","Doctor",1,"Low",2,"B"
"Male","Yes",30,"Yes","Homemaker",3,"Low",2,"B"
"Male","No",86,"No","Lawyer",1,"Low",1,"B"
"Female","",19,"No","Healthcare",6,"Low",5,"B"
"Male","No",25,"No","Healthcare",9,"Low",3,"B"
"Male","Yes",59,"Yes","Entertainment",NA,"Low",4,"A"
"Female","No",39,"Yes","Artist",0,"Low",1,"A"
"Male","Yes",43,"Yes","Executive",0,"High",3,"B"
"Male","Yes",80,"No","Lawyer",1,"Low",1,"B"
"Male","No",27,"No","",2,"Low",7,"B"
"Female","Yes",37,"Yes","Artist",1,"High",2,"A"
"Female","No",28,"Yes","Healthcare",1,"Low",3,"B"
"Male","Yes",39,"No","Entertainment",9,"Low",2,"B"
"Female","Yes",27,"No","Marketing",1,"Low",2,"A"
"Female","Yes",42,"No","Engineer",0,"Low",NA,"A"
"Female","Yes",28,"Yes","Engineer",0,"Low",2,"A"
"Male","Yes",39,"Yes","Executive",9,"High",5,"A"
"Male","No",18,"No","Healthcare",6,"Low",4,"B"
"Male","Yes",46,"Yes","Artist",NA,"Low",1,"A"
"Male","No",30,"No","Executive",5,"Low",5,"A"
"Female","No",39,"Yes","Artist",3,"Low",4,"B"
"Female","No",29,"No","Marketing",8,"Low",4,"B"
"Female","Yes",39,"Yes","Engineer",0,"Average",2,"A"
"Female","Yes",28,"No","Engineer",9,"Average",2,"A"
"Female","No",28,"Yes","Healthcare",7,"Low",4,"B"
"Male","Yes",67,"No","Lawyer",0,"High",9,"A"
"Female","No",26,"No","Engineer",0,"Low",1,"A"
"Female","Yes",45,"Yes","Marketing",8,"Low",4,"B"
"Female","No",25,"Yes","Healthcare",1,"Low",5,"B"
"Male","Yes",37,"No","Executive",0,"Average",5,"A"
"Male","No",32,"Yes","Artist",0,"Low",5,"B"
"Female","No",23,"No","Engineer",11,"Low",1,"B"
"Female","No",20,"No","Healthcare",2,"Low",6,"B"
"Female","No",22,"No","Healthcare",4,"Low",3,"B"
"Female","No",31,"Yes","Engineer",8,"Low",1,"A"
"Female","No",40,"Yes","Artist",1,"Low",1,"A"
"Female","Yes",85,"No","Lawyer",NA,"Low",NA,"A"
"Female","No",21,"No","Doctor",1,"Low",3,"A"
"Female","Yes",41,"No","Engineer",4,"Average",2,"B"
"Male","Yes",42,"No","Executive",8,"Low",2,"B"
"Male","Yes",41,"Yes","Executive",1,"Average",3,"A"
"Female","Yes",31,"Yes","Artist",0,"Average",2,"A"
"Male","Yes",67,"Yes","Executive",1,"Low",2,"A"
"Male","",19,"No","Healthcare",9,"Low",3,"B"
"Female","Yes",25,"No","Engineer",6,"Average",8,"B"
"Female","Yes",39,"Yes","Healthcare",4,"Low",2,"A"
"Male","Yes",63,"Yes","Entertainment",0,"Low",2,"A"
"Male","No",23,"No","Healthcare",8,"Low",3,"B"
"Female","No",23,"No","Healthcare",0,"Low",3,"B"
"Male","No",18,"No","Healthcare",0,"Low",3,"B"
"Male","Yes",56,"No","Executive",NA,"High",2,"A"
"Male","No",62,"Yes","",0,"Low",1,"A"
