Price,Qty
6.58,3038
6.29,3104
5.43,2160
5.65,3250
4.41,2937
6.64,2847
7.24,1786
7.57,2077
5.8,2394
6.93,1635
7.33,2113
6.16,2560
7.74,2035
7.22,2292
7.48,2882
5.68,1834
6.13,2793
7.8,1718
6.54,1875
6.1,2498
6.22,2009
5.59,2327
5.56,1901
7.29,1697
6.8,2065
4.99,4801
3.97,2970
8.02,2509
6.29,1747
7.85,2099
5.13,3014
5.85,2099
5.49,1987
6.66,1423
6.72,2300
7.11,1897
5.78,1707
5.76,1860
6.85,1613
4.76,2116
5.45,1596
7.8,2340
8.77,2436
6.45,2626
3.65,3370
6.48,1484
7.89,1718
4.36,2164
7.13,2361
6.84,1374
